Team,year,waiver_adds
HatTrick Swayzes,2022,1
BunchaPigeons,2022,2
Sugar Kane,2022,1
Mr. Andersson,2023,1
BunchaPigeons,2023,1
HatTrick Swayzes,2023,1
Sugar Kane,2023,1
The Tkachukle Fuckers,2021,1
No Regretzkys,2021,1
The Glatt Pack,2021,1
Sugar Kane,2021,2
BunchaPigeons,2021,2
HatTrick Swayzes,2020,1
The Hans Grubauers,2020,2
Dumpster Fire,2020,1
Big Thick Blocks,2020,1
The Glatt Pack,2020,2
Sugar Kane,2020,1
No Regretzkys,2020,1
Mitchell's Mooners,2020,1
The Bill Crosby's,2019,2
No Regretzkys,2019,2
Sugar Kane,2019,1
Big Dirty,2019,1
Collin's Cool Team,2018,1
Fuck Tom Wilson!,2018,1
Hail Satan,2018,1
Mitchell's Drangles,2018,1
Good Cop Babcock,2018,1
